expression,type,n_weeks,n_patients,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time
dplyr,reg,10,10,  7.06ms,  7.2ms,135.12545997891527,  46.16KB,11.750039998166546,92,8,680.85ms
data_table,reg,10,10,  5.57ms,  5.74ms,169.15887184514855,  74.89KB,10.797374798626503,94,6,555.69ms
mlr3fda,reg,10,10, 32.8ms, 33.6ms,29.582399993795356,   5.86MB,8.836301296847964,77,23,  2.6s
dplyr,irreg,10,10,  7.04ms,  7.17ms,137.94401531489947,  33.79KB,8.80493714775954,94,6,681.44ms
data_table,irreg,10,10,  5.53ms,  5.63ms,175.3531727400531,  71.38KB,9.229114354739638,95,5,541.76ms
mlr3fda,irreg,10,10, 37.64ms, 38.22ms,26.090811150394263,   6.01MB,9.650026041926644,73,27,  2.8s
dplyr,reg,50,10,  7.27ms,  7.55ms,126.88122985220201, 271.39KB,8.098801905459704,94,6,740.85ms
data_table,reg,50,10,  5.75ms,  5.88ms,163.98177741521647, 222.6KB,8.630619863958762,95,5,579.33ms
mlr3fda,reg,50,10, 34.1ms, 35.01ms,28.265780463655226,   6.09MB,8.443025333299612,77,23,  2.72s
dplyr,irreg,50,10,  7.32ms,  7.51ms,126.18645265381771, 362.18KB,8.05445442471177,94,6,744.93ms
data_table,irreg,50,10,  5.73ms,  5.92ms,160.7572498196453, 161.56KB,8.46090788524449,95,5,590.95ms
mlr3fda,irreg,50,10, 37.94ms, 39.44ms,25.197133416908848,   6.05MB,9.319487702144368,73,27,  2.9s
dplyr,reg,100,10,  7.17ms,  7.29ms,136.27219454913435, 663.37KB,8.698225183987299,94,6,689.8ms
data_table,reg,100,10,  5.65ms,  5.87ms,168.0298228911368, 497.69KB,10.725307844115115,94,6,559.42ms
mlr3fda,reg,100,10, 33.66ms, 34.42ms,29.03553641476041,   6.51MB,8.672952435577786,77,23,  2.65s
dplyr,irreg,100,10,  7.24ms,  7.37ms,132.75284505082288, 428.56KB,8.473585854307844,94,6,708.08ms
data_table,irreg,100,10,  5.67ms,  5.78ms,167.71043846415208, 451.58KB,8.826865182323793,95,5,566.45ms
mlr3fda,irreg,100,10, 38.53ms, 39.37ms,25.247028086916202,   6.37MB,9.818288700467413,72,28,  2.85s
dplyr,reg,10,100, 53.97ms, 56.36ms,17.650744866349303, 367.5KB,19.904031445032192,47,53,  2.66s
data_table,reg,10,100, 51.66ms, 52.41ms,18.973697309442226, 170.09KB,18.973697309442226,50,50,  2.63s
mlr3fda,reg,10,100, 98.06ms,100.61ms,9.771844995785337,   6.78MB,44.51618275857765,18,82,  1.84s
dplyr,irreg,10,100, 52.06ms, 56.17ms,17.964398227794167, 257.01KB,8.982199113897083,100,50,  5.57s
data_table,irreg,10,100, 49.45ms, 50.58ms,19.12046167283645, 123.58KB,8.98661698623313,100,47,  5.23s
mlr3fda,irreg,10,100,136.01ms,144.51ms,6.810802651452106,   6.81MB,7.764315022655402,100,114, 14.68s
