expression,type,n_weeks,n_patients,min,median,itr/sec,mem_alloc,gc/sec,n_itr,n_gc,total_time
dplyr,reg,10,10,  1.41ms,  1.46ms,673.2342405654128,337.44KB,8.41542800706766,320,4,475.32ms
data_table,reg,10,10,222.71µs,234.89µs,4195.3553800355685,142.27KB,14.676405627310835,2001,7,476.96ms
mlr3fda,reg,10,10,  4.79ms,  4.99ms,196.28692889795457,  2.32MB,10.330890994629188,95,5,483.99ms
dplyr,irreg,10,10,  1.39ms,  1.43ms,692.8374887645225, 26.65KB,8.272686433009223,335,4,483.52ms
data_table,irreg,10,10,219.39µs,233.09µs,4188.658000391953, 72.98KB,15.36719392177341,1908,7,455.52ms
mlr3fda,irreg,10,10,  5.25ms,  5.43ms,182.31612708662033,  1.02MB,9.595585636137912,95,5,521.07ms
dplyr,reg,50,10,  1.45ms,  1.5ms,652.5636527325056,148.03KB,8.312912773662491,314,4,481.18ms
data_table,reg,50,10,244.16µs,258.05µs,3781.3874263622315,122.23KB,16.862374253566248,1794,8,474.43ms
mlr3fda,reg,50,10,  4.76ms,  4.92ms,202.2212136628326,  1.06MB,8.425883902618025,96,4,474.73ms
dplyr,irreg,50,10,  1.43ms,  1.47ms,676.4211705062024,147.7KB,8.249038664709786,328,4,484.9ms
data_table,irreg,50,10,241.28µs,251.41µs,3935.7542150563722,122.09KB,12.50107214946439,1889,6,479.96ms
mlr3fda,irreg,50,10,  5.23ms,  5.37ms,185.72359468291,  1.08MB,7.738483111787916,96,4,516.9ms
dplyr,reg,100,10,  1.46ms,  1.5ms,660.3142005902201,293.68KB,8.804189341202935,300,4,454.33ms
data_table,reg,100,10,270.31µs,283.76µs,3455.3292158715058,176.66KB,14.712472330353126,1644,7,475.79ms
mlr3fda,reg,100,10,  4.8ms,  4.96ms,200.23647832852265,  1.14MB,6.192880773047092,97,3,484.43ms
dplyr,irreg,100,10,  1.47ms,  1.52ms,655.4157636843252,293.68KB,8.296402071953484,316,4,482.14ms
data_table,irreg,100,10,269.33µs,282.41µs,3458.7802689333016,176.66KB,15.160589782425243,1597,7,461.72ms
mlr3fda,irreg,100,10,  5.31ms,  5.5ms,180.0557699017328,  1.18MB,7.5023237459055325,96,4,533.17ms
dplyr,reg,10,100,  2.06ms,  2.15ms,453.8591438349376,330.53KB,8.366067167464287,217,4,478.12ms
